,subject,Window Length,Accuracy,paradigm,cv,ITR,Individual Accuracies
0,Jacklyn 3,0.1,0.6153846153846154,ssvep,0,136.03713823716177,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]"
1,Jacklyn 3,0.2,0.7692307692307693,ssvep,0,179.46778647608988,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
2,Jacklyn 3,0.3,0.7692307692307693,ssvep,0,157.0343131665786,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
3,Jacklyn 3,0.4,0.9230769230769231,ssvep,0,202.22865388683448,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,Jacklyn 3,0.5,0.9230769230769231,ssvep,0,182.00578849815105,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,Jacklyn 3,0.6,1.0,ssvep,0,201.84216644405956,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,Jacklyn 3,0.7,1.0,ssvep,0,185.0219859070546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,Jacklyn 3,0.8,1.0,ssvep,0,170.7895254526658,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,Jacklyn 3,0.9,1.0,ssvep,0,158.59027363461826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,Jacklyn 3,1.0,1.0,ssvep,0,148.0175887256437,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,Jacklyn 3,0.1,0.7692307692307693,ssvep,1,209.37908422210484,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
11,Jacklyn 3,0.2,0.9230769230769231,ssvep,1,260.00826928307293,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
12,Jacklyn 3,0.3,1.0,ssvep,1,277.5329788605819,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,Jacklyn 3,0.4,1.0,ssvep,1,246.69598120940614,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,Jacklyn 3,0.5,1.0,ssvep,1,222.02638308846554,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,Jacklyn 3,0.6,1.0,ssvep,1,201.84216644405956,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
16,Jacklyn 3,0.7,1.0,ssvep,1,185.0219859070546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,Jacklyn 3,0.8,1.0,ssvep,1,170.7895254526658,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,Jacklyn 3,0.9,1.0,ssvep,1,158.59027363461826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,Jacklyn 3,1.0,1.0,ssvep,1,148.0175887256437,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
20,Jacklyn 3,0.1,0.6923076923076923,ssvep,2,170.6882693084322,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
21,Jacklyn 3,0.2,0.9230769230769231,ssvep,2,260.00826928307293,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
22,Jacklyn 3,0.3,1.0,ssvep,2,277.5329788605819,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
23,Jacklyn 3,0.4,1.0,ssvep,2,246.69598120940614,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
24,Jacklyn 3,0.5,1.0,ssvep,2,222.02638308846554,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
25,Jacklyn 3,0.6,1.0,ssvep,2,201.84216644405956,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
26,Jacklyn 3,0.7,1.0,ssvep,2,185.0219859070546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
27,Jacklyn 3,0.8,1.0,ssvep,2,170.7895254526658,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
28,Jacklyn 3,0.9,1.0,ssvep,2,158.59027363461826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
29,Jacklyn 3,1.0,1.0,ssvep,2,148.0175887256437,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
30,Jacklyn 3,0.1,0.8461538461538461,ssvep,3,252.9524831043689,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
31,Jacklyn 3,0.2,1.0,ssvep,3,317.1805472692365,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
