,epochINX,result,resultChar,winLEN,subject,ISI,paradigm
0,1,6,↓,1.0,Kent,0.5,ssvep
1,1,12,+,1.0,Kent,0.5,ssvep
2,2,12,+,1.0,Kent,0.5,ssvep
3,1,11,R,1.0,Kent,0.5,ssvep
4,2,11,R,1.0,Kent,0.5,ssvep
5,3,11,R,1.0,Kent,0.5,ssvep
6,1,8,→,1.0,Kent,0.5,ssvep
7,2,8,→,1.0,Kent,0.5,ssvep
8,3,8,→,1.0,Kent,0.5,ssvep
9,4,8,→,1.0,Kent,0.5,ssvep
10,1,3,↙︎,1.0,Kent,0.5,ssvep
11,1,11,R,1.0,Kent,0.5,ssvep
12,2,11,R,1.0,Kent,0.5,ssvep
13,1,11,R,1.0,Kent,0.5,ssvep
14,2,11,R,1.0,Kent,0.5,ssvep
15,3,11,R,1.0,Kent,0.5,ssvep
16,1,6,↓,1.0,Kent,0.5,ssvep
17,2,6,↓,1.0,Kent,0.5,ssvep
18,3,6,↓,1.0,Kent,0.5,ssvep
19,4,6,↓,1.0,Kent,0.5,ssvep
20,1,10,Drag,1.0,Kent,0.5,ssvep
21,1,7,↗︎,1.0,Kent,0.5,ssvep
22,2,7,↗︎,1.0,Kent,0.5,ssvep
23,1,12,+,1.0,Kent,0.5,ssvep
24,2,12,+,1.0,Kent,0.5,ssvep
25,3,12,+,1.0,Kent,0.5,ssvep
26,1,12,+,1.0,Kent,0.5,ssvep
27,2,12,+,1.0,Kent,0.5,ssvep
28,3,12,+,1.0,Kent,0.5,ssvep
29,4,12,+,1.0,Kent,0.5,ssvep
30,1,11,R,1.0,Kent,0.5,ssvep
31,1,3,↙︎,1.0,Kent,0.5,ssvep
32,2,3,↙︎,1.0,Kent,0.5,ssvep
33,1,4,↑,1.0,Kent,0.5,ssvep
34,2,4,↑,1.0,Kent,0.5,ssvep
35,3,4,↑,1.0,Kent,0.5,ssvep
36,1,13,-,1.0,Kent,0.5,ssvep
37,2,13,-,1.0,Kent,0.5,ssvep
38,3,13,-,1.0,Kent,0.5,ssvep
39,4,13,-,1.0,Kent,0.5,ssvep
40,1,2,←,1.0,Kent,0.5,ssvep
41,1,12,+,1.0,Kent,0.5,ssvep
42,2,12,+,1.0,Kent,0.5,ssvep
43,1,4,↑,1.0,Kent,0.5,ssvep
44,2,4,↑,1.0,Kent,0.5,ssvep
45,3,4,↑,1.0,Kent,0.5,ssvep
46,1,6,↓,1.0,Kent,0.5,ssvep
47,2,6,↓,1.0,Kent,0.5,ssvep
48,3,6,↓,1.0,Kent,0.5,ssvep
49,4,6,↓,1.0,Kent,0.5,ssvep
50,1,5,L,1.0,Kent,0.5,ssvep
51,1,10,Drag,1.0,Kent,0.5,ssvep
52,2,10,Drag,1.0,Kent,0.5,ssvep
53,1,12,+,1.0,Kent,0.5,ssvep
54,2,12,+,1.0,Kent,0.5,ssvep
55,3,12,+,1.0,Kent,0.5,ssvep
56,1,1,↖︎,1.0,Kent,0.5,ssvep
57,2,1,↖︎,1.0,Kent,0.5,ssvep
58,3,1,↖︎,1.0,Kent,0.5,ssvep
59,4,1,↖︎,1.0,Kent,0.5,ssvep
