,epochINX,event,eventChar,result,resultChar,winLEN,blockINX,subject,ISI,paradigm
0,1,1,1,1,1,1.0,1,Toto 3,0.5,ssvep
1,2,2,2,2,2,1.0,1,Toto 3,0.5,ssvep
2,3,3,3,3,3,1.0,1,Toto 3,0.5,ssvep
3,4,4,4,4,4,1.0,1,Toto 3,0.5,ssvep
4,5,5,5,5,5,1.0,1,Toto 3,0.5,ssvep
5,6,6,6,6,6,1.0,1,Toto 3,0.5,ssvep
6,7,7,7,7,7,1.0,1,Toto 3,0.5,ssvep
7,8,8,8,8,8,1.0,1,Toto 3,0.5,ssvep
8,9,9,9,9,9,1.0,1,Toto 3,0.5,ssvep
9,10,10,0,10,0,1.0,1,Toto 3,0.5,ssvep
10,11,11,←,11,←,1.0,1,Toto 3,0.5,ssvep
11,12,12,Q,12,Q,1.0,1,Toto 3,0.5,ssvep
12,13,13,W,13,W,1.0,1,Toto 3,0.5,ssvep
13,14,14,E,14,E,1.0,1,Toto 3,0.5,ssvep
14,15,15,R,15,R,1.0,1,Toto 3,0.5,ssvep
15,16,16,T,16,T,1.0,1,Toto 3,0.5,ssvep
16,17,17,Y,17,Y,1.0,1,Toto 3,0.5,ssvep
17,18,18,U,18,U,1.0,1,Toto 3,0.5,ssvep
18,19,19,I,19,I,1.0,1,Toto 3,0.5,ssvep
19,20,20,O,20,O,1.0,1,Toto 3,0.5,ssvep
20,21,21,P,21,P,1.0,1,Toto 3,0.5,ssvep
21,22,22,A,22,A,1.0,1,Toto 3,0.5,ssvep
22,23,23,S,23,S,1.0,1,Toto 3,0.5,ssvep
23,24,24,D,24,D,1.0,1,Toto 3,0.5,ssvep
24,25,25,F,25,F,1.0,1,Toto 3,0.5,ssvep
25,26,26,G,26,G,1.0,1,Toto 3,0.5,ssvep
26,27,27,H,27,H,1.0,1,Toto 3,0.5,ssvep
27,28,28,J,28,J,1.0,1,Toto 3,0.5,ssvep
28,29,29,K,29,K,1.0,1,Toto 3,0.5,ssvep
29,30,30,L,30,L,1.0,1,Toto 3,0.5,ssvep
30,31,31,↵,31,↵,1.0,1,Toto 3,0.5,ssvep
31,32,32,⇧,32,⇧,1.0,1,Toto 3,0.5,ssvep
32,33,33,Z,33,Z,1.0,1,Toto 3,0.5,ssvep
33,34,34,X,34,X,1.0,1,Toto 3,0.5,ssvep
34,35,35,C,35,C,1.0,1,Toto 3,0.5,ssvep
35,36,36,V,42,/,1.0,1,Toto 3,0.5,ssvep
36,37,37,B,37,B,1.0,1,Toto 3,0.5,ssvep
37,38,38,N,38,N,1.0,1,Toto 3,0.5,ssvep
38,39,39,M,39,M,1.0,1,Toto 3,0.5,ssvep
39,40,40,",",40,",",1.0,1,Toto 3,0.5,ssvep
40,41,41,.,41,.,1.0,1,Toto 3,0.5,ssvep
41,42,42,/,42,/,1.0,1,Toto 3,0.5,ssvep
42,43,43, ,43, ,1.0,1,Toto 3,0.5,ssvep
