,epochINX,result,resultChar,winLEN,subject,ISI,paradigm
0,1,36,V,1.0,Toto 3,0.5,ssvep
1,1,12,Q,1.0,Toto 3,0.5,ssvep
2,2,12,Q,1.0,Toto 3,0.5,ssvep
3,1,11,←,1.0,Toto 3,0.5,ssvep
4,2,11,←,1.0,Toto 3,0.5,ssvep
5,3,11,←,1.0,Toto 3,0.5,ssvep
6,1,11,←,1.0,Toto 3,0.5,ssvep
7,2,11,←,1.0,Toto 3,0.5,ssvep
8,3,11,←,1.0,Toto 3,0.5,ssvep
9,4,11,←,1.0,Toto 3,0.5,ssvep
10,1,16,T,1.0,Toto 3,0.5,ssvep
11,1,20,O,1.0,Toto 3,0.5,ssvep
12,2,20,O,1.0,Toto 3,0.5,ssvep
13,1,16,T,1.0,Toto 3,0.5,ssvep
14,2,16,T,1.0,Toto 3,0.5,ssvep
15,3,16,T,1.0,Toto 3,0.5,ssvep
16,1,20,O,1.0,Toto 3,0.5,ssvep
17,2,20,O,1.0,Toto 3,0.5,ssvep
18,3,20,O,1.0,Toto 3,0.5,ssvep
19,4,20,O,1.0,Toto 3,0.5,ssvep
20,1,23,S,1.0,Toto 3,0.5,ssvep
21,1,21,P,1.0,Toto 3,0.5,ssvep
22,2,21,P,1.0,Toto 3,0.5,ssvep
23,1,14,E,1.0,Toto 3,0.5,ssvep
24,2,14,E,1.0,Toto 3,0.5,ssvep
25,3,14,E,1.0,Toto 3,0.5,ssvep
26,1,22,A,1.0,Toto 3,0.5,ssvep
27,2,22,A,1.0,Toto 3,0.5,ssvep
28,3,22,A,1.0,Toto 3,0.5,ssvep
29,4,22,A,1.0,Toto 3,0.5,ssvep
30,1,11,←,1.0,Toto 3,0.5,ssvep
31,1,29,K,1.0,Toto 3,0.5,ssvep
32,2,29,K,1.0,Toto 3,0.5,ssvep
33,1,19,I,1.0,Toto 3,0.5,ssvep
34,2,19,I,1.0,Toto 3,0.5,ssvep
35,3,19,I,1.0,Toto 3,0.5,ssvep
36,1,38,N,1.0,Toto 3,0.5,ssvep
37,2,38,N,1.0,Toto 3,0.5,ssvep
38,3,38,N,1.0,Toto 3,0.5,ssvep
39,4,38,N,1.0,Toto 3,0.5,ssvep
40,1,41,.,1.0,Toto 3,0.5,ssvep
41,1,41,.,1.0,Toto 3,0.5,ssvep
42,2,41,.,1.0,Toto 3,0.5,ssvep
43,1,28,J,1.0,Toto 3,0.5,ssvep
44,2,28,J,1.0,Toto 3,0.5,ssvep
45,3,28,J,1.0,Toto 3,0.5,ssvep
