,epochINX,result,resultChar,winLEN,subject,ISI,paradigm
0,1,17,Y,1.0,Toto,0.5,ssvep
1,1,16,T,1.0,Toto,0.5,ssvep
2,2,16,T,1.0,Toto,0.5,ssvep
3,1,8,8,1.0,Toto,0.5,ssvep
4,2,8,8,1.0,Toto,0.5,ssvep
5,3,8,8,1.0,Toto,0.5,ssvep
6,1,6,6,1.0,Toto,0.5,ssvep
7,2,6,6,1.0,Toto,0.5,ssvep
8,3,6,6,1.0,Toto,0.5,ssvep
9,4,6,6,1.0,Toto,0.5,ssvep
10,1,30,L,1.0,Toto,0.5,ssvep
11,1,41,.,1.0,Toto,0.5,ssvep
12,2,41,.,1.0,Toto,0.5,ssvep
13,1,19,I,1.0,Toto,0.5,ssvep
14,2,19,I,1.0,Toto,0.5,ssvep
15,3,19,I,1.0,Toto,0.5,ssvep
16,1,40,",",1.0,Toto,0.5,ssvep
17,2,40,",",1.0,Toto,0.5,ssvep
18,3,40,",",1.0,Toto,0.5,ssvep
19,4,40,",",1.0,Toto,0.5,ssvep
