,epochINX,event,eventChar,result,resultChar,winLEN,blockINX,subject,ISI,paradigm
0,1,1,↖︎,1,↖︎,1.0,1,Toto,0.5,ssvep
1,2,2,←,2,←,1.0,1,Toto,0.5,ssvep
2,3,3,↙︎,3,↙︎,1.0,1,Toto,0.5,ssvep
3,4,4,↑,4,↑,1.0,1,Toto,0.5,ssvep
4,5,5,L,5,L,1.0,1,Toto,0.5,ssvep
5,6,6,↓,6,↓,1.0,1,Toto,0.5,ssvep
6,7,7,↗︎,7,↗︎,1.0,1,Toto,0.5,ssvep
7,8,8,→,8,→,1.0,1,Toto,0.5,ssvep
8,9,9,↘︎,9,↘︎,1.0,1,Toto,0.5,ssvep
9,10,10,Drag,10,Drag,1.0,1,Toto,0.5,ssvep
10,11,11,R,11,R,1.0,1,Toto,0.5,ssvep
11,12,12,+,12,+,1.0,1,Toto,0.5,ssvep
12,13,13,-,13,-,1.0,1,Toto,0.5,ssvep
13,1,1,↖︎,1,↖︎,1.0,2,Toto,0.5,ssvep
14,2,2,←,2,←,1.0,2,Toto,0.5,ssvep
15,3,3,↙︎,3,↙︎,1.0,2,Toto,0.5,ssvep
16,4,4,↑,4,↑,1.0,2,Toto,0.5,ssvep
17,5,5,L,5,L,1.0,2,Toto,0.5,ssvep
18,6,6,↓,6,↓,1.0,2,Toto,0.5,ssvep
19,7,7,↗︎,7,↗︎,1.0,2,Toto,0.5,ssvep
20,8,8,→,8,→,1.0,2,Toto,0.5,ssvep
21,9,9,↘︎,9,↘︎,1.0,2,Toto,0.5,ssvep
22,10,10,Drag,10,Drag,1.0,2,Toto,0.5,ssvep
23,11,11,R,11,R,1.0,2,Toto,0.5,ssvep
24,12,12,+,12,+,1.0,2,Toto,0.5,ssvep
25,13,13,-,13,-,1.0,2,Toto,0.5,ssvep
26,1,1,↖︎,1,↖︎,1.0,3,Toto,0.5,ssvep
27,2,2,←,2,←,1.0,3,Toto,0.5,ssvep
28,3,3,↙︎,3,↙︎,1.0,3,Toto,0.5,ssvep
29,4,4,↑,4,↑,1.0,3,Toto,0.5,ssvep
30,5,5,L,5,L,1.0,3,Toto,0.5,ssvep
31,6,6,↓,6,↓,1.0,3,Toto,0.5,ssvep
32,7,7,↗︎,7,↗︎,1.0,3,Toto,0.5,ssvep
33,8,8,→,8,→,1.0,3,Toto,0.5,ssvep
34,9,9,↘︎,9,↘︎,1.0,3,Toto,0.5,ssvep
35,10,10,Drag,10,Drag,1.0,3,Toto,0.5,ssvep
36,11,11,R,4,↑,1.0,3,Toto,0.5,ssvep
37,12,12,+,12,+,1.0,3,Toto,0.5,ssvep
38,13,13,-,13,-,1.0,3,Toto,0.5,ssvep
39,1,1,↖︎,1,↖︎,1.0,4,Toto,0.5,ssvep
40,2,2,←,2,←,1.0,4,Toto,0.5,ssvep
41,3,3,↙︎,3,↙︎,1.0,4,Toto,0.5,ssvep
42,4,4,↑,4,↑,1.0,4,Toto,0.5,ssvep
43,5,5,L,5,L,1.0,4,Toto,0.5,ssvep
44,6,6,↓,6,↓,1.0,4,Toto,0.5,ssvep
45,7,7,↗︎,7,↗︎,1.0,4,Toto,0.5,ssvep
46,8,8,→,8,→,1.0,4,Toto,0.5,ssvep
47,9,9,↘︎,9,↘︎,1.0,4,Toto,0.5,ssvep
48,10,10,Drag,10,Drag,1.0,4,Toto,0.5,ssvep
49,11,11,R,11,R,1.0,4,Toto,0.5,ssvep
50,12,12,+,12,+,1.0,4,Toto,0.5,ssvep
51,13,13,-,12,+,1.0,4,Toto,0.5,ssvep
52,1,1,↖︎,1,↖︎,1.0,5,Toto,0.5,ssvep
53,2,2,←,2,←,1.0,5,Toto,0.5,ssvep
54,3,3,↙︎,3,↙︎,1.0,5,Toto,0.5,ssvep
55,4,4,↑,4,↑,1.0,5,Toto,0.5,ssvep
56,5,5,L,5,L,1.0,5,Toto,0.5,ssvep
57,6,6,↓,6,↓,1.0,5,Toto,0.5,ssvep
58,7,7,↗︎,7,↗︎,1.0,5,Toto,0.5,ssvep
59,8,8,→,8,→,1.0,5,Toto,0.5,ssvep
60,9,9,↘︎,9,↘︎,1.0,5,Toto,0.5,ssvep
61,10,10,Drag,10,Drag,1.0,5,Toto,0.5,ssvep
62,11,11,R,11,R,1.0,5,Toto,0.5,ssvep
63,12,12,+,12,+,1.0,5,Toto,0.5,ssvep
64,13,13,-,13,-,1.0,5,Toto,0.5,ssvep
